iterations;bestCost;meanCost;deviation
50;391540;405634;7461.31
100;391540;406301;6860.27
150;391540;406737;6838.16
200;388870;406566;6796.32
250;388870;406957;6876.92
300;388870;406928;7014.3
350;388214;407007;6998.91
400;388214;406934;7186.21
