iterations;bestCost;meanCost;deviation
50;1205258;1.23281e+06;13688.5
100;1195380;1.2307e+06;13620.8
150;1195380;1.23131e+06;13618.1
200;1195380;1.23169e+06;14146.2
250;1187658;1.23193e+06;14079.6
300;1187658;1.23247e+06;14032.7
350;1187658;1.23234e+06;14071.8
400;1187658;1.23243e+06;13849.6
