iterations;bestCost;meanCost;deviation
50;394626;408137;6712.88
100;391668;407959;6689.53
150;388870;408239;7377.46
200;388870;407982;7276.7
250;388870;407746;7187.92
300;388250;407536;7248.15
350;388250;407435;7176.31
400;388250;407490;7211.87
