iterations;bestCost;meanCost;deviation
50;388250;390512;5054.36
100;388250;389004;3106.92
150;388250;388627;2229.05
200;388250;388476;1736.47
250;388250;388401;1421.82
300;388250;388358;1203.59
350;388250;388331;1043.38
400;388250;388313;920.791
